DISTRITO,REGIÓN,PACTO,ORDEN,NOMBRE,PARTIDO,PARTIDO ASOCIADO,DIPUTADO 2025,SENADOR 2025
1,REGIÓN DE ARICA Y PARINACOTA,CHILE GRANDE Y UNIDO,1,JUAN CARLOS CHINGA PALMA,IND,RN,,
1,REGIÓN DE ARICA Y PARINACOTA,CHILE GRANDE Y UNIDO,2,SEBASTIAN HUERTA GONZALEZ,UDI,,,
1,REGIÓN DE ARICA Y PARINACOTA,CHILE GRANDE Y UNIDO,3,VIVIANA RUBIO TORRES,EVOPOLI,,,
1,REGIÓN DE ARICA Y PARINACOTA,CHILE GRANDE Y UNIDO,4,ARACELY BERRIOS GAJARDO,EVOPOLI,,,
1,REGIÓN DE ARICA Y PARINACOTA,"VERDES, REGIONALISTAS Y HUMANISTAS",1,RICARDO LUIS SANZANA OTEIZA,IND,AH,,
1,REGIÓN DE ARICA Y PARINACOTA,"VERDES, REGIONALISTAS Y HUMANISTAS",2,LEONARDO WILSON VALENZUELA ATENAS,AH,,,
1,REGIÓN DE ARICA Y PARINACOTA,"VERDES, REGIONALISTAS Y HUMANISTAS",3,PAULINA PATRICIA SALDIA PINTO,IND,AH,,
1,REGIÓN DE ARICA Y PARINACOTA,"VERDES, REGIONALISTAS Y HUMANISTAS",4,LUIS ALEJANDRO PAREDES ESCANILLA,FREVS,,,
1,REGIÓN DE ARICA Y PARINACOTA,CAMBIO POR CHILE,1,MARCELO ANDRÉS ZARA PIZARRO,PNL,,,
1,REGIÓN DE ARICA Y PARINACOTA,CAMBIO POR CHILE,2,JOSÉ GUSTAVO LEE RODRIGUEZ,PSC,,1.0,
1,REGIÓN DE ARICA Y PARINACOTA,CAMBIO POR CHILE,3,STEPHANIE JELDREZ ORTIZ,REP,,,
1,REGIÓN DE ARICA Y PARINACOTA,CAMBIO POR CHILE,4,POLLYANA RIVERA BIGAS,REP,,,
1,REGIÓN DE ARICA Y PARINACOTA,UNIDAD POR CHILE ,1,LUIS FABIÁN MALLA VALENZUELA,PL,,1.0,
1,REGIÓN DE ARICA Y PARINACOTA,UNIDAD POR CHILE ,2,JORGE DÍAZ OBARRA,PDC,,,
1,REGIÓN DE ARICA Y PARINACOTA,UNIDAD POR CHILE ,3,GIOVANNA CALLE CAPUMA,PPD,,,
1,REGIÓN DE ARICA Y PARINACOTA,UNIDAD POR CHILE ,4,SANDRA FLORES,PS,,,
1,REGIÓN DE ARICA Y PARINACOTA,PARTIDO DE LA GENTE ,1,RODRIGO CUEVAS TRONCOSO,PDG,,,
1,REGIÓN DE ARICA Y PARINACOTA,PARTIDO DE LA GENTE ,2,ERNESTO RODRIGO PLASENCIA ROJAS,PDG,,,
1,REGIÓN DE ARICA Y PARINACOTA,PARTIDO DE LA GENTE ,3,RAÚL ALEXANDER PARADA FLORES,PDG,,,
1,REGIÓN DE ARICA Y PARINACOTA,PARTIDO DE LA GENTE ,4,CANDY KATIUSKA ANDRADE JARA,PDG,,,
1,REGIÓN DE ARICA Y PARINACOTA,IZQUIERDA ECOLOGISTA POPULAR ANIMALISTA Y HUMANISTA,1,ANA ANDREA CARVAJAL MARIPÁN,IEPAYH,,,
1,REGIÓN DE ARICA Y PARINACOTA,IZQUIERDA ECOLOGISTA POPULAR ANIMALISTA Y HUMANISTA,2,JUAN JACOBO TANCARA CHAMBE,IEPAYH,,,
1,REGIÓN DE ARICA Y PARINACOTA,IZQUIERDA ECOLOGISTA POPULAR ANIMALISTA Y HUMANISTA,3,ROBERTO SAMUEL FLORES SALGADO,IEPAYH,,,
2,REGIÓN DE TARAPACÁ,CHILE GRANDE Y UNIDO,1,XIMENA NARANJO PINTO,IND,UDI,,
2,REGIÓN DE TARAPACÁ,CHILE GRANDE Y UNIDO,2,VITTORIO CANESSA MORALES,IND,EVOPOLI,,
2,REGIÓN DE TARAPACÁ,CHILE GRANDE Y UNIDO,3,IVAN JIMENEZ CORREA,DEMOCRATAS,,,
2,REGIÓN DE TARAPACÁ,CHILE GRANDE Y UNIDO,4,RAMON GALLEGUILLOS CASTILLO,RN,,,
2,REGIÓN DE TARAPACÁ,"VERDES, REGIONALISTAS Y HUMANISTAS",1,MARCO ANTONIO CALCAGNO ZULETA,IND,AH,,
2,REGIÓN DE TARAPACÁ,"VERDES, REGIONALISTAS Y HUMANISTAS",2,RUBEN CRISTOBAL ROJO SEMBLER,AH,,,
2,REGIÓN DE TARAPACÁ,"VERDES, REGIONALISTAS Y HUMANISTAS",3,ANGEL CAMPOS DIAZ,IND,FREVS,,
2,REGIÓN DE TARAPACÁ,"VERDES, REGIONALISTAS Y HUMANISTAS",4,ENZO MORALES NORAMBUENA,IND,FREVS,,
2,REGIÓN DE TARAPACÁ,CAMBIO POR CHILE,1,JORGE MUÑOZ OYARCE,REP,,,
2,REGIÓN DE TARAPACÁ,CAMBIO POR CHILE,2,CRISTIÁN ANDRÉS CABEZAS MUNDACA,PSC,,,
2,REGIÓN DE TARAPACÁ,CAMBIO POR CHILE,3,ÁLVARO ARTURO JOFRÉ CÁCERES,PNL,,,
2,REGIÓN DE TARAPACÁ,CAMBIO POR CHILE,4,AGUSTÍN RENDIC GALLEGUILLOS,PNL,,,
2,REGIÓN DE TARAPACÁ,UNIDAD POR CHILE ,1,MATÍAS RAMÍREZ PASCAL,PC,,1.0,
2,REGIÓN DE TARAPACÁ,UNIDAD POR CHILE ,2,CARLOS CARVAJAL CARVAJAL GALLARDO,IND,PPD,,
2,REGIÓN DE TARAPACÁ,UNIDAD POR CHILE ,3,ABRAHAM ELÍAS DÍAZ MAMI,PDC,,,
2,REGIÓN DE TARAPACÁ,UNIDAD POR CHILE ,4,NOEMÍ SALINAS POLANCO,FA,,,
2,REGIÓN DE TARAPACÁ,PARTIDO DE LA GENTE ,1,PATRICIO ANDRÉS QUISBERT LAZO,PDG,,,
2,REGIÓN DE TARAPACÁ,PARTIDO DE LA GENTE ,2,ANA MARÍA TORO OJANE,PDG,,,
2,REGIÓN DE TARAPACÁ,PARTIDO DE LA GENTE ,3,CLAUDIO SAÉZ MUÑOZ,PDG,,,
2,REGIÓN DE TARAPACÁ,PARTIDO DE LA GENTE ,4,JESSICA SOLEDAD BECERRA CANTILLANO,PDG,,,
3,REGIÓN DE ANTOFAGASTA,CHILE GRANDE Y UNIDO,1,JOSE MIGUEL CASTRO BASCUÑAN,RN,,1.0,
3,REGIÓN DE ANTOFAGASTA,CHILE GRANDE Y UNIDO,2,DANIELA CASTRO ARAYA,RN,,,
3,REGIÓN DE ANTOFAGASTA,CHILE GRANDE Y UNIDO,3,CAROLINA LATORRE CRUZ,DEMOCRATAS,,,
3,REGIÓN DE ANTOFAGASTA,CHILE GRANDE Y UNIDO,4,JOSE LUIS VELIZ VELIZ,IND,DEMOCRATAS,,
3,REGIÓN DE ANTOFAGASTA,CHILE GRANDE Y UNIDO,5,JORGE OLIVARES PUENTES,EVOPOLI,,,
3,REGIÓN DE ANTOFAGASTA,CHILE GRANDE Y UNIDO,6,YANTIEL CALDERON VALENZUELA,EVOPOLI,,,
3,REGIÓN DE ANTOFAGASTA,"VERDES, REGIONALISTAS Y HUMANISTAS",1,HERNAN VELASQUEZ NUÑEZ,FREVS,,,
3,REGIÓN DE ANTOFAGASTA,"VERDES, REGIONALISTAS Y HUMANISTAS",2,MARION TAPIA GONZALEZ,FREVS,,,
3,REGIÓN DE ANTOFAGASTA,"VERDES, REGIONALISTAS Y HUMANISTAS",3,DANAHE ROJAS MAMANI,FREVS,,,
3,REGIÓN DE ANTOFAGASTA,"VERDES, REGIONALISTAS Y HUMANISTAS",4,MARIA GLORIA LAZCANO TORRES,AH,,,
3,REGIÓN DE ANTOFAGASTA,"VERDES, REGIONALISTAS Y HUMANISTAS",5,EDUARDO ARIEL SOTOMAYOR ORTIZ,AH,,,
3,REGIÓN DE ANTOFAGASTA,"VERDES, REGIONALISTAS Y HUMANISTAS",6,MARCO ANTONIO RAMO PAEZ,AH,,,
3,REGIÓN DE ANTOFAGASTA,CAMBIO POR CHILE,1,YOVANA ALEJANDRA AHUMADA PALMA,PSC,,1.0,
3,REGIÓN DE ANTOFAGASTA,CAMBIO POR CHILE,2,CAROLINA JUDITH MOSCOSO CARRASCO,PSC,,,
3,REGIÓN DE ANTOFAGASTA,CAMBIO POR CHILE,3,LESLIE CAROLINA MOLL VERA,PSC,,,
3,REGIÓN DE ANTOFAGASTA,CAMBIO POR CHILE,4,ADRIANA DE LOURDES JIMÉNEZ RETAMAL,PNL,,,
3,REGIÓN DE ANTOFAGASTA,CAMBIO POR CHILE,5,CARLO ARQUEROS PIZARRO,REP,,,
3,REGIÓN DE ANTOFAGASTA,CAMBIO POR CHILE,6,SILVANA UBILLO ROJAS,REP,,,
3,REGIÓN DE ANTOFAGASTA,UNIDAD POR CHILE ,1,SEBASTIÁN VIDELA,IND,PL,1.0,
3,REGIÓN DE ANTOFAGASTA,UNIDAD POR CHILE ,2,JAIME ARAYA,IND,PPD,1.0,
