CIRCUNSCRIPCIÓN,REGIÓN,PACTO,ORDEN,NOMBRE,PARTIDO,PARTIDO ASOCIADO,DIPUTADO 2025,SENADOR 2025
1,REGIÓN DE ARICA Y PARINACOTA,CHILE GRANDE Y UNIDO,1.0,JOSE MIGUEL DURANA SEMIR,UDI,,,1.0
1,REGIÓN DE ARICA Y PARINACOTA,CHILE GRANDE Y UNIDO,2.0,ENRIQUE SEGUNDO LEE FLORES,IND,PDEMO,1.0,
1,REGIÓN DE ARICA Y PARINACOTA,CHILE GRANDE Y UNIDO,3.0,SANDRA CECILIA ZAPATA VELASQUEZ,IND,RN,,
1,REGIÓN DE ARICA Y PARINACOTA,UNIDAD POR CHILE,1.0,CINTHIA VARGAS MORALES,IND,PS,,
1,REGIÓN DE ARICA Y PARINACOTA,UNIDAD POR CHILE,2.0,VLADO MIROSEVIC,PL,,1.0,
1,REGIÓN DE ARICA Y PARINACOTA,UNIDAD POR CHILE,3.0,CARMEN HERTZ,PC,,1.0,
1,REGIÓN DE ARICA Y PARINACOTA,PARTIDO DE LA GENTE,1.0,FRIEDRICH MENCIA,PDG,,,
1,REGIÓN DE ARICA Y PARINACOTA,"VERDES, REGIONALISTAS Y HUMANISTAS",1.0,MAURICIO PAREDES,FRVS,,,
1,REGIÓN DE ARICA Y PARINACOTA,"VERDES, REGIONALISTAS Y HUMANISTAS",2.0,MARÍA GAMBOA,FRVS,,,
1,REGIÓN DE ARICA Y PARINACOTA,IZQUIERDA ECOLOGISTA POPULAR,1.0,ANDREA CHELLEW,PH,,,
1,REGIÓN DE ARICA Y PARINACOTA,IZQUIERDA ECOLOGISTA POPULAR,2.0,CLAUDIO OJEDA,PH,,,
2,REGIÓN DE TARAPACÁ,CHILE GRANDE Y UNIDO,1.0,LUZ EBENSPERGER ORREGO,UDI,,,
2,REGIÓN DE TARAPACÁ,CHILE GRANDE Y UNIDO,2.0,LUCRECIA MENA ACOSTA,RN,,,
2,REGIÓN DE TARAPACÁ,CHILE GRANDE Y UNIDO,3.0,JORGE ZAVALA VALENZUELA,PD,,,
2,REGIÓN DE TARAPACÁ,CAMBIO POR CHILE,1.0,RENZO TRISOTTI MARTÍNEZ,REP,,1.0,
2,REGIÓN DE TARAPACÁ,CAMBIO POR CHILE,2.0,KAREN HEYNE BOLADOS,REP,,,
2,REGIÓN DE TARAPACÁ,CAMBIO POR CHILE,3.0,SOLANGE DEL CARMEN JIMÉNEZ DINAMARCA,PSC,,,
2,REGIÓN DE TARAPACÁ,UNIDAD POR CHILE,1.0,DANISA ASTUDILLO PEIRETTI,PS,,1.0,
2,REGIÓN DE TARAPACÁ,UNIDAD POR CHILE,2.0,GONZALO PRIETO NAVARRETE,PPD,,,
2,REGIÓN DE TARAPACÁ,UNIDAD POR CHILE,3.0,HUGO GUTIÉRREZ GÁLVEZ,PC,,,
2,REGIÓN DE TARAPACÁ,PARTIDO DE LA GENTE,1.0,MARTA CORTÉS,PDG,,,
2,REGIÓN DE TARAPACÁ,PARTIDO DE LA GENTE,2.0,JOSÉ LUIS PAREDES,PDG,,,
2,REGIÓN DE TARAPACÁ,"VERDES, REGIONALISTAS Y HUMANISTAS",1.0,PAOLA ALZAMORA,AH,,,
